id,name,what_to_donate,to_whom_donate,description,website,facebook,city,coordinates_lat,coordinates_lng,Inforegister,Logo,money,volunteer,blood,stuff,children,nature,in_need,animals
14,Pärnu Hospital blood centre,blood,public,"Donor center promotes voluntary, monetarily uncompensated blood donation; provision of immune haematological reference lab service.",http://www.ph.ee/patsiendile_kulastajale/doonorile,,Pärnu,58.387609,24.547775,https://www.inforegister.ee/90004527-PARNU-HAIGLA-SA,,0,0,1,0,1,0,1,0
15,Ida-Viru Central Hospital blood service,blood,public,"Donor center promotes voluntary, monetarily uncompensated blood donation; provision of immune haematological reference lab service.",http://www.ivkh.ee/et/,,Kohtla-Järve,59.404611,27.296375,https://www.inforegister.ee/90003433-IDA-VIRU-KESKHAIGLA-SA,,0,0,1,0,1,0,1,0
16,North Estonia Medical Centre’s blood centre,blood,public,,https://verekeskus.ee/,https://www.facebook.com/DoonoridjaSobrad,Tallinn,59.435730,24.707522,https://www.inforegister.ee/90006399-POHJA-EESTI-REGIONAALHAIGLA-SA,,0,0,1,0,1,0,1,0
17,DoonoriFoorum,blood,public,,,https://www.facebook.com/DoonoridjaSobrad,Tallinn,59.437902,24.758499,,,0,0,1,0,1,0,1,0
18,Charity Foundation Dharma,money,children,"Charity Foundation Dharma was created in 2001 and is aimed to offer each child the kind of help they specifically need. Support children and teenagers in growing up. At the moment, for instance, we are undergoing with our porridge project so that children from disadvantaged families could eat porridge every morning when coming to school, we support children growing up with their grandparents, and pay for hobby groups or sports practices for children whose parents can’t afford them.",http://www.dharma.ee,https://www.facebook.com/Heategevusfond-Dharma-319687701410972/,Tallinn,59.410748,24.742317,https://www.inforegister.ee/90006518-DHARMA-SA,,1,0,0,0,1,0,0,0
19,Charity Foundation Dharma,money,children,"Charity Foundation Dharma was created in 2001 and is aimed to offer each child the kind of help they specifically need. Support children and teenagers in growing up. At the moment, for instance, we are undergoing with our porridge project so that children from disadvantaged families could eat porridge every morning when coming to school, we support children growing up with their grandparents, and pay for hobby groups or sports practices for children whose parents can’t afford them.",http://www.dharma.ee,https://www.facebook.com/Heategevusfond-Dharma-319687701410972/,Tallinn,59.410748,24.742317,https://www.inforegister.ee/90006518-DHARMA-SA,,1,0,0,0,1,0,0,0
20,Narva-Jõesuus SOS Lasteküla,money,children,"SOS Children’s Villages Association in Estonia is a non-profit organisation, which relies upon donations of individuals and companies. SOS Children’s Villages Association in Estonia offers a family based care to children without parental care so that they could grow up in a loving, caring and safe environment. The children live in small families and every family has a SOS parent who is looking after them.",https://www.sos-lastekyla.ee,https://www.facebook.com/SOSlastekyla/,Narva,59.460560,28.041154,?,,1,0,0,0,1,0,0,0
21,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tallinn,59.451366,24.717329,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
22,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tallinn,59.425527,24.745246,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
23,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tallinn,59.435344,24.843941,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
24,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tallinn,59.426614,24.703559,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
25,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tallinn,59.442500,24.872096,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
26,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Pärnu,58.388167,24.502238,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
27,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Tartu,58.374343,26.722087,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
28,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Paide,58.886656,25.571727,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
29,Uuskasutuskeskus,"clothes, things",nature,"Our objective is to re-use things or to re-design old things, giving them new value and a new purpose. Whilst recycling mainly means reprocessing packaging, paper and other items into raw material, the objective of re-use and re-design is to extend the lives of things or increase their value.
If you have anything that is still usable, clean and in good condition, but you just don’t need it anymore, then you can donate it to us. We will find the item a happy new owner either with the help of our charity partners or by selling it at a reasonable price. Any money we make will be used to promote re-use and re-design further.",http://uuskasutus.ee/,https://www.facebook.com/uuskasutus,Narva,59.381971,28.170998,https://www.inforegister.ee/ru/80201865-UUSKASUTUS-MTU,http://uuskasutuskeskus.ee/wp-content/themes/uuskasutus/images/Uuskasutus.svg,0,0,0,1,0,1,0,0
30,Ma armastan aidata,"money, time",public,"The donation environment was founded in 2008 in cooperation of Swedbank and the Good Deed Foundation in order to boost the development of donating culture in Estonia. By today, over 42 000 transfers have been made to support more than 45 organizations in total sum that is visible on our webpage and that is growing, thanks to the good donors.",https://www.armastanaidata.ee/,https://www.facebook.com/armastanaidata/,All,,,,,1,1,0,0,0,0,1,0
31,Eesti Gaidide Liit,money,public,"Estonian Guide Association will support its members with developing and launching projects to promote environmental awareness on local and national level. For those events, association will support participation of up to 70 young people from large families.",http://www.gaidid.ee/,https://www.facebook.com/EestiGaidideLiit/,All,59.449548,24.725588,,http://www.gaidid.ee/uploads/9/0/5/6/90567783/1480941980.png,1,0,0,0,0,0,1,0
32,SOS Children’s Village in Estonia,money,children,"Our goal is to guarantee the children a stable and safe home and family. We provide the functioning of family-based villages for the children, educational programme and protection of children's rights, we also support well-being of risk families.",www.sos-lastekyla.ee,https://www.facebook.com/SOSlastekyla/,All,,,,,1,0,0,0,1,0,0,0
33,Crisis Programme for Children,,,"We offer support to bereaved children since 1995, being the only one in Estonia that offers this kind of professional help. We organise grief support camps for children, giving them opportunity to spend good time with their peers.",www.lastekriis.ee,https://www.facebook.com/lastekriis,All,,,,,,,,,,,,
34,Estonian Fund for Nature,"work, money","nature, public","Estonian Fund for Nature (ELF) is a non-governmental organization dedicated to nature conservation. Our mission is to preserve endangered species and their habitats, natural landscapes and natural associations typical of Estonia. We promote the sustainable use of natural resources, raise environmental awareness in the society and seek solutions for preserving a clean environment for future generations.",http://elfond.ee/,https://www.facebook.com/EstonianFundforNature/,Tartu,58.383368,26.719995,https://www.inforegister.ee/ru/11043521-ELF-RING-OU,https://scontent-arn2-1.xx.fbcdn.net/v/t1.0-1/380641_319804854741776_163414377_n.jpg?oh=c2e6e58697ebb73822add251b7f9e00f&oe=5AAE2E3C,1,1,0,0,0,1,1,0
35,Kingi vaba nädalavahetus suure hoolduskoormusega perele,,,MTÜ Charity Pirital was founded in 2008 to help support the development of children and youngsters with special needs through different developmental activities. We counsel and support families as whole. We involve the families in to the activities.,www.charitypirital.ee,,All,59.453608,24.834049,,https://www.armastanaidata.ee/upload/logo/215x215_470ae22e8d78c60cd907cca80c0a939a27e34942.jpg,,,,,,,,
36,Must Kast,money,children,"Must Kast is a project theatre that has operated in Tartu for 2 years, but has given performances all over Estonia. The theatre creates spectacles for both children and grown-ups and values direct communication with its audience.",www.teatermustkast.ee,https://www.facebook.com/teatermustkast/?ref=bookmarks,Tartu,58.386658,26.712441,,,1,0,0,0,1,0,0,0
37,Estonian Association of Parents of Children with Cancer,money,children,"Established in 1992, EAPCC helps to support Estonian families where there is growing or who has had a child with cancer diagnosis.",www.vähilapsed.ee,www.facebook.com/EVLVLiit,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_82d25efbbfb679e4b535786c613110f3572d16c1.png,1,0,0,0,1,0,0,0
38,Tartu University Hospital Children’s Foundation,money,children,"We support the improvement of the conditions in which children are treated nationwide, acquiring medical equipment for the Children’s Hospital of the University of Tartu Hospital and the children’s wards, but also training nurses and doctors.",www.lastefond.ee,https://www.facebook.com/lastefond,Tartu,58.367643,26.704606,https://www.inforegister.ee/ru/90001931-TARTU-ULIKOOLI-KLIINIKUMI-LASTEFOND-SA,https://www.armastanaidata.ee/upload/logo/215x215_a4df8dc6e24b73e79d693fb0aeadc7dda2e4192d.png,1,0,0,0,1,0,0,0
39,Toeks lähedastele,money,public,"Well-being and Recovery College (Heaolu ja Taastumise Kool) supports family members, who want to contribute to a recovery of a family member, friend or co-worker from a mental disorder, with the project ""Support the dear ones.""",http://heakool.ee/,https://www.facebook.com/www.heakool.ee,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_2d94a11760168006dd76f77bcec39dbd21134960.png,1,0,0,0,0,0,1,0
40,Food Bank,money,public,"We help families living in poverty and fight on the other hand against wasting food in our society. Altogether, 1700 families nationwide receive our food packages every week.",www.toidupank.ee,https://www.facebook.com/toidupank,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_89b7b599164bc69c3d0e6f953be52ef1faeee90b.png,1,0,0,0,0,0,1,0
41,EELK Pärnu Diakooniakeskus,food,public,"The Pärnu Diagnostic Center coordinates the activities of Pärnu Food Bank, and the people of the Center visit Tammens Ward's home for the care of the owners. The goals of Pärnu Food Bank, like other food banks, are to fight food waste and help families with disadvantages.",http://www.parnudiakoonia.eu/,https://www.facebook.com/ParnuToidupank/,Pärnu,58.384461,24.499273,,,0,0,0,1,0,0,1,0
42,EELK Pärnu Diaconia center,"clothes, footwear",public,"EELK Pärnu Diaconia center is a non-profit organization, which operates in the social, educational and cultural fields, and connects in free will the physical and legal entities. The aim of the association is to give aid to people and families in material and spiritual crisis in the city and county of Pärnu.",http://www.parnudiakoonia.eu/,https://www.facebook.com/parnuringvaade/,,58.380447,24.537827,,,0,0,0,1,0,0,1,0
43,Healthy Estonia Foundation,money,public,"The foundation promotes conscious healty attitude in Estonia, organises trainings that help to improve awareness and promote health-related active lifestyle.",www.teomeeter.ee,www.facebook.com/teomeeter,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_976be824589602695f244e8e0cad10094f2087c2.png,1,0,0,0,0,0,1,0
44,Estonian Blind Masseurs Association,money,public,"EBMA's activities help people who have lost their eyesight acquire a suitable profession and return to active working life - we provide trainings, intermediate equipment etc.",http://www.pimemassoorid.ee,http://www.facebook.com/pimemassoorid,All,,,,,1,0,0,0,0,0,1,0
45,Estonian Sexual Health Association,money,public,"ESTL helps to spread the information and services on sexual health matters, it promotes sexual and reproductive health and protects the rights of sexual health in Estonia.",http://www.amor.ee,http://www.facebook.com/seksuaalterviseliit,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_e97bd163503ce8b5ce4dd3ba74893ecedc340b91.png,1,0,0,0,0,0,1,0
46,Children Charity Foundation Aitan Lapsi,money,children,Donate your empty container into one of the 238 reverse vending machines in Estonia and press the Aitan Lapsi button. Your donation will be automatically registered and the money goes to children from disadvantaged families for visiting theatres and for other projects supporting children and culture in Estonia.,http://www.aitanlapsi.ee/54eng.html,https://www.facebook.com/AitanLapsi/,All,59.414523,24.710121,https://www.inforegister.ee/ru/90012159-HEATEGEVUSFOND-AITAN-LAPSI-SA,http://www.aitanlapsi.ee/254i96x110.jpg?key=e5019780395f1404535bafe5021871b9,1,0,0,0,1,0,0,0
47,Veganlusega terveks ja rõõmsaks,money,public,"The Estonian Vegan Society helps vegans and vegan-curious people by sharing evidence-based information about veganism, including nutrition and health, to support a sustainable lifestyle choice.",www.vegan.ee,www.facebook.com/eestiveganselts,All,,,,,1,0,0,0,0,0,1,0
48,The Tallinn Children’s Hospital Foundation,money,children,"The foundation supports developing a child-friendly hospital and bringing the best medical care. We use the funds mostly to purchase hi-tech equipment, improve treatment conditions, buy expensive medicines not sold in Estonia and support health promotion projects aimed at children.",www.toetusfond.ee,https://www.facebook.com/pages/SA-Tallinna-Lastehaigla-Toetusfond,Tallinn,,,,,1,0,0,0,1,0,0,0
49,Tagasi Kooli,"money, voluteer work",children/education,"We invite guest teachers to schools, to carry out lessons and share their experience.",https://tagasikooli.ee,https://www.facebook.com/tagasikooli/,,,,https://www.inforegister.ee/en/80391523-TAGASI-KOOLI-MTU,https://tagasikooli.ee/wp-content/themes/tagasikooli/img/logo.png,1,1,0,0,1,0,0,0
50,"Hille Tänavsuu cancer treatment foundation ""The Gift of Life""",money,treatment,"The Hille Tänavsuu cancer treatment foundation ""The Gift of Life"" is a privately initiated cancer treatment support foundation whose mission is to help cancer patients whose treatment is not considered sufficiently ‘cost-effective’ by the state at this point.
The foundation supports cancer patients primarily financially. We help people purchase modern medications (or treatment procedures) essential to them, giving them hope, a chance to live longer or even fully recover.",https://kingitudelu.ee/about,https://www.facebook.com/kingitudelu,Tallinn,59.434369,24.773571,https://www.inforegister.ee/ru/90012656-HILLE-TANAVSUU-VAHIRAVIFOND-KINGITUD-ELU-SA,https://scontent-arn2-1.xx.fbcdn.net/v/t1.0-1/p320x320/17264975_1658355240845791_6097083613372342608_n.png?oh=594423d228373d3d48cb7b6e14492d0a&oe=5AAC85A2,1,0,0,0,0,0,1,0
51,The Autism Society of Tallinn and Harju County,money,children,The society organises monthly group meetings in Estonian and Russian for family members of people suffering from autism spectrum disorders. We co-operate with education and rehabilitation institutions and include specialists in its support groups.,www.autismtallinn.ee,https://et-ee.facebook.com/autismtallinn,Tallinn,,,,https://www.armastanaidata.ee/upload/logo/215x215_d412ade5df43953b00bcbbceb91ff05a6a6cf0e4.png,1,0,0,0,1,0,0,0
52,Estonian Society for the Protection of Animals,money,animals,"Besides direct help, we oversee the protection of animal rights in Estonia; inform, train and educate the public; and take part in legislative drafting. We also use donations to help other animal welfare organisations in Estonia.",http://www.loomakaitse.ee,http://www.facebook.com/eestiloomakaitseselts,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_04d98a6158e7d96f90087b62f3e9645275e431d9.png,1,0,0,0,0,0,0,1
53,Eesti lindude heaks,money,animals,"The Estonian Ornithological Society (EOS), founded in 1921, is a non-profit membership organisation whose mission is to ensure the good status of Estonian birds through research, protection and education.",http://www.eoy.ee/,https://www.facebook.com/ornitoloogiayhing,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_fe6f11580a83d1023f038d89527b221d4033f4e2.jpg,1,0,0,0,0,0,0,1
54,CatRescue,money,animals,Our vision of the future is to develop into active civil organisations and to have a say in shaping the values of Estonian society. We make every effort to reduce the number of strays help to grow public responsibility.,www.kassiabi.ee,https://www.facebook.com/Kassiabi,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_ba18afc7dbd1c870c0f8c62a2b7bc32745fcbc21.png,1,0,0,0,0,0,0,1
55,Ettevõtlike Noorte Koda ehk JCI,presents,children,JCI Christhmas Tree,https://www.jci.ee/joulupuu/tartu/,https://www.facebook.com/joulupuu.jci.ee/,Tartu,58.376871,26.728669,https://www.inforegister.ee/80041504-JCI-TARTU-MTU,https://jci.ee/joulupuu/images/2016_Joulupuu_logo.jpg,0,0,0,1,1,0,0,0
56,NGO Loomus,money,animals,"NGO Loomus is an organization, which is active in a field of animal custudy and guardi-anship. Animal guardianship means the protection of natural interests and rights of every animal and their representation in public debates.",www.loomus.ee,,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_63b1393c0c5dd74eb33636e6e9197423e5af0570.png,1,0,0,0,0,0,0,1
57,Tartu Christian Adolescent Home,money,children,Tartu Christian Adolescent Home was established as a private orphanage in 2000. Our objective is to help kids and young people who have lost their homes and families or their parents are not able look after them.,http://tkn.ee/about-us,https://www.facebook.com/Tartu-Kristlik-Noortekodu-561131793933860/,Tartu,58.372010,26.720794,https://www.inforegister.ee/ru/80129096-TARTU-KRISTLIK-NOORTEKODU-MTU,http://tkn.ee/photos/logo.jpg,1,0,0,0,1,0,0,0
58,Estonian Fund for Nature,money,"nature, public",The Fund's aim is to preserve Estonian nature and its diversity.,www.teemeara.ee,www.facebook.com/teemeara,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_c65d2e27d6ecd64f94deedb1352fb169cc5a828d.png,1,0,0,0,0,1,1,0
59,MTÜ Saaremaa Lemmikloomade Turvakodu,money,animals,"Only volunteers work in our NGO, whose primary aim is to find loving homes for homeless pets and provide better knowledge about having a pet.",http://saareloomad.ee/,https://www.facebook.com/saareloomad/,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_2be61ef65fc4fff0e36d528b43c39e810e55bcaa.jpg,1,0,0,0,0,0,0,1
60,SA Junior Achievement,money,children,Promote entrepreneurship education in Estonia,http://www.ja.ee,https://www.facebook.com/jaeesti/,,,,https://www.inforegister.ee/en/search/Junior-Achievement,https://www.armastanaidata.ee/upload/logo/215x215_b9801bbdceb8c546e33916a30cd574a60c5353c6.png,1,0,0,0,1,0,0,0
61,Opinion Festival (EMSL),"money, volunteer work",public,"Opinion Festival is a citizens' initiative, which first took place in 2013. The festival is a meeting place for the entire community, giving a voice to different political views. Its mission is to improve opinion culture and civic education. The festival is open to all active-minded people in Estonia as well as elsewhere, who together would like to discuss issues that are important for all of us.",http://www.arvamusfestival.ee,http://www.facebook.com/Arvamusfestival,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_55dc17d8efd16ff22380f8c247b5eaab012d088d.png,1,1,0,0,0,0,1,0
62,Bully-free School,money,children,"The Anti-Bullying Foundation was established at the end of 2012 and its mission is to help Estonian schools become free of bullying, implementing a proof-based program developed by Finnish experts.","www.kivaprogram.net/estonia, https://et-ee.facebook.com/Kivaeesti",,All,,,,https://www.armastanaidata.ee/upload/logo/215x215_facbbe623f345e517fcaa07a5201c3f1bc84da49.png,1,0,0,0,1,0,0,0
63,Ettevõtlike Noorte Koda ehk JCI,presents,children,JCI Christhmas Tree,https://jci.ee/joulupuu/tallinn/,https://www.facebook.com/joulupuu.jci.ee/,Tallinn,59.421916,24.792777,https://www.inforegister.ee/otsing/jci/harjumaa,https://jci.ee/joulupuu/images/2016_Joulupuu_logo.jpg,0,0,0,1,1,0,0,0
64,Eesti Pagulasabi,money,public,Estonian Refugee Council gathers donations to carry out group activities for refugees in Tallinn and Tartu which would help refugees who arrive to Estonia restart their lives more quickly and effectively.,http://www.pagulasabi.ee/,https://www.facebook.com/pagulasabi/,Tartu,,,,https://www.armastanaidata.ee/upload/logo/215x215_1ff4a939368da77f1b369d407e2b6c4d015a89a1.jpg,1,0,0,0,0,0,1,0
